,USA,CAN,CUB,HAI,BLZ,GUA,HON,SAL,NIC,COL,VEN,GUY,SUR,BRA,BOL,CHL,URU
claim5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
claim44,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
claim46,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
claim56,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
claim58,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
claim66,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
claim68,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
claim78,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
claim81,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
claim102,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
claim112,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
claim120,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
claim148,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
claim154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
